"PVWatts Hourly PV Performance Data"
"Requested Location","Greensboro, NC"
"Location","Lat, Lng: 36.05, -79.78"
"Latitude (DD)","36.05"
"Longitude (DD)","-79.78"
"Elevation (m)","241.83999633789"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","1","1.8","0.13","0","1","0","0"
"1","1","1","0","0","1","2.1","0.13","0","1","0","0"
"1","1","2","0","0","1","2.5","0.13","0","1","0","0"
"1","1","3","0","0","2","2.9","0.13","0","2","0","0"
"1","1","4","0","0","2","2.9","0.13","0","2","0","0"
"1","1","5","0","0","2","2.8","0.13","0","2","0","0"
"1","1","6","0","0","2","2.8","0.13","0","2","0","0"
"1","1","7","0","0","2","2.9","0.13","0","0","0","0"
"1","1","8","518","48","4","3.2","0.13","300.611","9.9","1081.912","1027.722"
"1","1","9","784","63","6","4","0.13","613.173","16.71","2222.869","2128.25"
"1","1","10","909","66","8","4.6","0.13","633.956","18.179","2274.676","2178.221"
"1","1","11","958","68","9","4.7","0.13","590.891","18.349","2106.781","2016.275"
"1","1","12","970","67","9","4.8","0.13","567.834","17.865","2024.643","1937.047"
"1","1","13","956","64","8","4.9","0.13","601.123","17.272","2154.417","2062.223"
"1","1","14","908","59","7","4.9","0.13","645.419","16.971","2330.416","2231.986"
"1","1","15","807","50","6","4.5","0.13","621.45","16.126","2258.266","2162.392"
"1","1","16","563","32","4","3.9","0.13","239.112","8.186","841.037","795.382"
"1","1","17","0","0","2","3.7","0.13","0","2","0","0"
"1","1","18","0","0","1","3.6","0.13","0","1","0","0"
"1","1","19","0","0","0","3.3","0.13","0","0","0","0"
"1","1","20","0","0","0","3","0.13","0","0","0","0"
"1","1","21","0","0","-1","2.9","0.13","0","-1","0","0"
"1","1","22","0","0","-1","2.9","0.13","0","-1","0","0"
"1","1","23","0","0","-2","3.1","0.13","0","-2","0","0"
"1","2","0","0","0","-2","3.4","0.13","0","-2","0","0"
"1","2","1","0","0","-2","3.7","0.13","0","-2","0","0"
"1","2","2","0","0","-3","3.9","0.13","0","-3","0","0"
"1","2","3","0","0","-3","4","0.13","0","-3","0","0"
"1","2","4","0","0","-4","4","0.13","0","-4","0","0"
"1","2","5","0","0","-4","3.9","0.13","0","-4","0","0"
"1","2","6","0","0","-5","3.9","0.13","0","-5","0","0"
"1","2","7","0","0","-4","4.2","0.13","0","-4","0","0"
"1","2","8","533","50","-3","4.7","0.13","308.423","1.865","1143.087","1086.729"
"1","2","9","678","87","-3","5","0.13","572.323","5.735","2153.721","2061.552"
"1","2","10","756","109","-2","5","0.13","590.751","7.002","2200.868","2107.028"
"1","2","11","809","116","-1","5","0.13","562.68","7.561","2079.508","1989.968"
"1","2","12","445","192","0","5.1","0.13","422.82","6.335","1548.44","1477.719"
"1","2","13","875","91","0","5.4","0.13","586.687","8.503","2166.366","2073.749"
"1","2","14","841","78","0","5.4","0.13","628.074","9.119","2329.653","2231.25"
"1","2","15","741","63","0","5.1","0.13","591.447","8.917","2203.588","2109.652"
"1","2","16","492","38","-2","4.4","0.13","233.855","1.816","842.017","796.326"
"1","2","17","0","0","-3","4","0.13","0","-3","0","0"
"1","2","18","0","0","-3","3.9","0.13","0","-3","0","0"
"1","2","19","0","0","-4","3.8","0.13","0","-4","0","0"
"1","2","20","0","0","-4","3.6","0.13","0","-4","0","0"
"1","2","21","0","0","-5","3.5","0.13","0","-5","0","0"
"1","2","22","0","0","-5","3.5","0.13","0","-5","0","0"
"1","2","23","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","0","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","1","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","2","0","0","-5","3.3","0.13","0","-5","0","0"
"1","3","3","0","0","-5","3.2","0.13","0","-5","0","0"
"1","3","4","0","0","-6","2.9","0.13","0","-6","0","0"
"1","3","5","0","0","-6","2.5","0.13","0","-6","0","0"
"1","3","6","0","0","-6","2.3","0.13","0","-6","0","0"
"1","3","7","0","0","-5","2.6","0.13","0","-5","0","0"
"1","3","8","622","43","-4","3.1","0.13","330.308","2.592","1224.377","1165.138"
"1","3","9","823","61","-2","3.1","0.13","639.576","10.836","2368.41","2268.634"
"1","3","10","915","69","-1","2.8","0.13","644.165","12.585","2358.027","2258.618"
"1","3","11","956","73","0","2.4","0.13","598.308","13.542","2170.102","2077.352"
"1","3","12","965","74","0","2.2","0.13","574.653","13.506","2080.49","1990.915"
"1","3","13","944","73","0","1.9","0.13","605.178","15.116","2184.654","2091.389"
"1","3","14","898","66","0","1.6","0.13","647.698","17.275","2334.843","2236.256"
"1","3","15","797","55","0","0.9","0.13","621.862","19.629","2230.902","2135.998"
"1","3","16","561","34","-1","0.4","0.13","246.981","7.863","874.298","827.464"
"1","3","17","0","0","-2","0.3","0.13","0","-2","0","0"
"1","3","18","0","0","-2","0.3","0.13","0","-2","0","0"
"1","3","19","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","20","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","21","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","22","0","0","-3","0.4","0.13","0","-3","0","0"
"1","3","23","0","0","-3","0.5","0.13","0","-3","0","0"
"1","4","0","0","0","-3","0.5","0.13","0","-3","0","0"
"1","4","1","0","0","-3","0.6","0.13","0","-3","0","0"
"1","4","2","0","0","-4","0.7","0.13","0","-4","0","0"
"1","4","3","0","0","-4","0.7","0.13","0","-4","0","0"
"1","4","4","0","0","-4","0.8","0.13","0","-4","0","0"
"1","4","5","0","0","-4","0.9","0.13","0","-4","0","0"
"1","4","6","0","0","-4","1","0.13","0","-4","0","0"
"1","4","7","0","0","-3","1.6","0.13","0","-3","0","0"
"1","4","8","597","41","-1","2.2","0.13","318.481","6.469","1163.431","1106.351"
"1","4","9","795","59","0","2.7","0.13","619.912","13.324","2275.32","2178.842"
"1","4","10","883","68","2","2.9","0.13","625.152","14.958","2268.817","2172.569"
"1","4","11","923","73","3","3","0.13","582.141","14.845","2101.001","2010.7"
"1","4","12","932","74","4","3.1","0.13","558.846","15.177","2010.303","1923.215"
"1","4","13","917","72","5","3","0.13","589.943","17.007","2114.526","2023.746"
"1","4","14","869","66","4","2.8","0.13","634.449","17.384","2285.345","2188.512"
"1","4","15","768","55","2","2","0.13","603.096","16.798","2185.809","2092.503"
"1","4","16","535","35","0","1.4","0.13","242.811","6.71","864.364","817.882"
"1","4","17","0","0","-1","1.4","0.13","0","-1","0","0"
"1","4","18","0","0","-1","1.5","0.13","0","-1","0","0"
"1","4","19","0","0","-2","1.5","0.13","0","-2","0","0"
"1","4","20","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","21","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","22","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","23","0","0","-2","1.4","0.13","0","-2","0","0"
"1","5","0","0","0","-2","1.3","0.13","0","-2","0","0"
"1","5","1","0","0","-2","1.2","0.13","0","-2","0","0"
"1","5","2","0","0","-2","1.1","0.13","0","-2","0","0"
"1","5","3","0","0","-2","1.1","0.13","0","-2","0","0"
"1","5","4","0","0","-2","1.2","0.13","0","-2","0","0"
"1","5","5","0","0","-3","1.4","0.13","0","-3","0","0"
"1","5","6","0","0","-3","1.5","0.13","0","-3","0","0"
"1","5","7","0","0","-2","1.9","0.13","0","-2","0","0"
"1","5","8","181","58","0","2.2","0.13","157.569","3.688","567.015","531.069"
"1","5","9","132","129","1","2.3","0.13","222.822","6.14","816.725","771.931"
"1","5","10","200","185","3","2.5","0.13","295.991","9.568","1073.191","1019.31"
"1","5","11","200","224","4","2.6","0.13","327.416","11.117","1172.372","1114.976"
"1","5","12","644","135","4","2.6","0.13","471.494","14.266","1689.715","1613.987"
"1","5","13","506","164","4","2.4","0.13","452.341","14.224","1624.154","1550.75"
"1","5","14","794","81","3","2.1","0.13","602.962","17.482","2168.985","2076.275"
"1","5","15","198","114","2","1.6","0.13","267.458","9.125","976.565","926.108"
"1","5","16","170","49","0","1.3","0.13","133.645","3.775","470.256","437.739"
"1","5","17","0","0","0","1.4","0.13","0","0","0","0"
"1","5","18","0","0","1","1.5","0.13","0","1","0","0"
"1","5","19","0","0","1","1.6","0.13","0","1","0","0"
"1","5","20","0","0","1","1.6","0.13","0","1","0","0"
"1","5","21","0","0","1","1.6","0.13","0","1","0","0"
"1","5","22","0","0","0","1.6","0.13","0","0","0","0"
"1","5","23","0","0","0","1.6","0.13","0","0","0","0"
"1","6","0","0","0","0","1.6","0.13","0","0","0","0"
"1","6","1","0","0","0","1.6","0.13","0","0","0","0"
"1","6","2","0","0","0","1.5","0.13","0","0","0","0"
"1","6","3","0","0","0","1.4","0.13","0","0","0","0"
"1","6","4","0","0","0","1.2","0.13","0","0","0","0"
"1","6","5","0","0","0","1.2","0.13","0","0","0","0"
"1","6","6","0","0","0","1.2","0.13","0","0","0","0"
"1","6","7","0","0","1","1.6","0.13","0","1","0","0"
"1","6","8","0","21","3","2.2","0.13","15.683","3.366","51.133","33.467"
"1","6","9","27","121","6","2.4","0.13","130.998","8.96","464.557","432.241"
"1","6","10","802","76","9","2.6","0.13","591.002","21.91","2089.037","1999.16"
"1","6","11","845","81","12","3.2","0.13","552.948","22.882","1935.293","1850.864"
"1","6","12","855","83","13","3.5","0.13","530.597","22.95","1851.902","1770.427"
"1","6","13","840","80","14","3.3","0.13","559.161","24.83","1944.394","1859.642"
"1","6","14","789","74","13","2.6","0.13","593.452","25.968","2068.457","1979.309"
"1","6","15","220","114","11","1.7","0.13","282.363","18.362","997.95","946.734"
"1","6","16","138","49","7","1.4","0.13","123.133","10.399","421.556","390.765"
"1","6","17","0","0","5","1.5","0.13","0","5","0","0"
"1","6","18","0","0","5","1.5","0.13","0","5","0","0"
"1","6","19","0","0","5","1.4","0.13","0","5","0","0"
"1","6","20","0","0","4","1.4","0.13","0","4","0","0"
"1","6","21","0","0","4","1.3","0.13","0","4","0","0"
"1","6","22","0","0","3","1.2","0.13","0","3","0","0"
"1","6","23","0","0","3","1.1","0.13","0","3","0","0"
"1","7","0","0","0","4","1","0.13","0","4","0","0"
"1","7","1","0","0","4","0.9","0.13","0","4","0","0"
"1","7","2","0","0","4","0.9","0.13","0","4","0","0"
"1","7","3","0","0","4","1","0.13","0","4","0","0"
"1","7","4","0","0","4","1.1","0.13","0","4","0","0"
"1","7","5","0","0","4","1.1","0.13","0","4","0","0"
"1","7","6","0","0","4","1","0.13","0","4","0","0"
"1","7","7","0","0","4","1.2","0.13","0","4","0","0"
"1","7","8","502","45","5","1.4","0.13","291.648","13.097","1036.655","984.068"
"1","7","9","708","67","7","1.5","0.13","577.461","22.762","2045.629","1957.29"
"1","7","10","817","74","10","1.8","0.13","600.128","25.322","2094.594","2004.52"
"1","7","11","866","76","13","2.2","0.13","559.593","26.156","1935.121","1850.697"
"1","7","12","880","77","15","2.5","0.13","539.084","26.968","1853.951","1772.404"
"1","7","13","861","76","16","2.8","0.13","567.775","27.955","1951.348","1866.35"
"1","7","14","817","69","16","2.7","0.13","606.812","29.025","2090.946","2001.001"
"1","7","15","721","58","14","1.9","0.13","577.293","28.457","2002.422","1915.614"
"1","7","16","496","37","11","1.3","0.13","249.793","18.074","856.735","810.523"
"1","7","17","0","0","9","1.3","0.13","0","9","0","0"
"1","7","18","0","0","8","1.4","0.13","0","8","0","0"
"1","7","19","0","0","8","1.4","0.13","0","8","0","0"
"1","7","20","0","0","7","1.4","0.13","0","7","0","0"
"1","7","21","0","0","7","1.3","0.13","0","7","0","0"
"1","7","22","0","0","7","1.2","0.13","0","7","0","0"
"1","7","23","0","0","6","1.1","0.13","0","6","0","0"
"1","8","0","0","0","6","1.1","0.13","0","6","0","0"
"1","8","1","0","0","6","1.1","0.13","0","6","0","0"
"1","8","2","0","0","5","1.1","0.13","0","5","0","0"
"1","8","3","0","0","5","1.1","0.13","0","5","0","0"
"1","8","4","0","0","5","1.1","0.13","0","5","0","0"
"1","8","5","0","0","5","1.1","0.13","0","5","0","0"
"1","8","6","0","0","5","1.2","0.13","0","5","0","0"
"1","8","7","0","0","6","1.6","0.13","0","6","0","0"
"1","8","8","0","31","9","2.1","0.13","23.213","9.552","74.915","56.406"
"1","8","9","0","102","11","2.3","0.13","83.281","12.916","284.969","259.017"
"1","8","10","16","162","14","3.1","0.13","140.211","16.796","479.633","446.784"
"1","8","11","88","225","17","4","0.13","262.655","21.553","895.536","847.949"
"1","8","12","21","201","18","4.3","0.13","211.571","21.502","706.883","665.981"
"1","8","13","75","218","18","4.1","0.13","246.724","22.217","838.197","792.642"
"1","8","14","0","100","17","3.4","0.13","76.859","18.46","254.952","230.064"
"1","8","15","125","121","16","2.2","0.13","213.466","21.02","738.563","696.539"
"1","8","16","38","50","14","1.7","0.13","66.864","15.726","218.596","194.996"
"1","8","17","0","0","13","1.9","0.13","0","13","0","0"
"1","8","18","0","0","13","2.3","0.13","0","13","0","0"
"1","8","19","0","0","12","2.6","0.13","0","12","0","0"
"1","8","20","0","0","11","2.7","0.13","0","11","0","0"
"1","8","21","0","0","11","2.8","0.13","0","11","0","0"
"1","8","22","0","0","11","3.3","0.13","0","11","0","0"
"1","8","23","0","0","12","3.9","0.13","0","12","0","0"
"1","9","0","0","0","12","4.1","0.13","0","12","0","0"
"1","9","1","0","0","11","4","0.13","0","11","0","0"
"1","9","2","0","0","11","4","0.13","0","11","0","0"
"1","9","3","0","0","12","4.4","0.13","0","12","0","0"
"1","9","4","0","0","12","4.3","0.13","0","12","0","0"
"1","9","5","0","0","12","4.3","0.13","0","12","0","0"
"1","9","6","0","0","12","4.5","0.13","0","12","0","0"
"1","9","7","0","0","13","4.1","0.13","0","13","0","0"
"1","9","8","84","61","14","3.3","0.13","110.429","16.127","372.865","343.799"
"1","9","9","0","109","15","3","0.13","90.248","16.832","304.849","278.193"
"1","9","10","0","76","16","3.2","0.13","57.2","17.121","188.278","165.752"
"1","9","11","382","200","16","3.1","0.13","411.572","24.215","1415.477","1349.467"
"1","9","12","146","243","17","2.8","0.13","320.129","23.696","1080.132","1026.005"
"1","9","13","35","202","17","2.4","0.13","208.764","21.701","705.536","664.682"
"1","9","14","858","67","16","2","0.13","632.661","31.503","2159.326","2066.958"
"1","9","15","767","56","15","1.2","0.13","608.796","32.825","2077.535","1988.065"
"1","9","16","552","36","12","0.9","0.13","268.654","20.411","919.085","870.664"
"1","9","17","0","0","10","1.1","0.13","0","10","0","0"
"1","9","18","0","0","8","1.2","0.13","0","8","0","0"
"1","9","19","0","0","7","1.4","0.13","0","7","0","0"
"1","9","20","0","0","6","1.6","0.13","0","6","0","0"
"1","9","21","0","0","6","1.7","0.13","0","6","0","0"
"1","9","22","0","0","5","1.8","0.13","0","5","0","0"
"1","9","23","0","0","4","1.8","0.13","0","4","0","0"
"1","10","0","0","0","4","1.7","0.13","0","4","0","0"
"1","10","1","0","0","3","1.6","0.13","0","3","0","0"
"1","10","2","0","0","3","1.5","0.13","0","3","0","0"
"1","10","3","0","0","3","1.4","0.13","0","3","0","0"
"1","10","4","0","0","3","1.4","0.13","0","3","0","0"
"1","10","5","0","0","3","1.5","0.13","0","3","0","0"
"1","10","6","0","0","3","1.8","0.13","0","3","0","0"
"1","10","7","0","0","4","1.7","0.13","0","4","0","0"
"1","10","8","0","4","5","1.5","0.13","2.974","5.08","8.924","0"
"1","10","9","0","71","6","1.8","0.13","54.195","7.378","186.495","164.032"
"1","10","10","0","35","7","2.1","0.13","26.23","7.626","86.995","68.058"
"1","10","11","0","20","8","2","0.13","18.069","8.439","58.296","40.376"
"1","10","12","0","131","9","2","0.13","130.729","12.169","444.786","413.171"
"1","10","13","0","118","10","1.8","0.13","105.587","12.676","360.264","331.644"
"1","10","14","0","85","11","1.7","0.13","64.391","12.671","217.174","193.624"
"1","10","15","0","15","10","1.5","0.13","11.195","10.304","35.528","18.415"
"1","10","16","264","57","9","1","0.13","196.451","14.988","677.248","637.397"
"1","10","17","0","0","8","1.1","0.13","0","8","0","0"
"1","10","18","0","0","9","1.8","0.13","0","9","0","0"
"1","10","19","0","0","10","2.2","0.13","0","10","0","0"
"1","10","20","0","0","10","2.3","0.13","0","10","0","0"
"1","10","21","0","0","11","2.3","0.13","0","11","0","0"
"1","10","22","0","0","11","2.4","0.13","0","11","0","0"
"1","10","23","0","0","11","2.4","0.13","0","11","0","0"
"1","11","0","0","0","11","2.6","0.13","0","11","0","0"
"1","11","1","0","0","10","2.9","0.13","0","10","0","0"
"1","11","2","0","0","10","3.2","0.13","0","10","0","0"
"1","11","3","0","0","10","3.4","0.13","0","10","0","0"
"1","11","4","0","0","10","3.7","0.13","0","10","0","0"
"1","11","5","0","0","11","4.5","0.13","0","11","0","0"
"1","11","6","0","0","11","4.9","0.13","0","11","0","0"
"1","11","7","0","0","12","5.1","0.13","0","12","0","0"
"1","11","8","0","9","13","5","0.13","6.7","13.101","20.082","3.516"
"1","11","9","0","76","14","4.4","0.13","58.627","14.963","196.099","173.297"
"1","11","10","368","168","14","4.1","0.13","399.564","20.857","1402.347","1336.802"
"1","11","11","838","92","15","4.3","0.13","570.364","24.517","1982.459","1896.358"
"1","11","12","896","80","16","4.3","0.13","557.635","25.301","1929.189","1844.976"
"1","11","13","892","76","16","4","0.13","588.431","26.247","2034.97","1947.008"
"1","11","14","857","69","16","3.4","0.13","636.378","28.15","2199.29","2105.507"
"1","11","15","763","58","14","2.1","0.13","610.854","28.692","2118.054","2027.149"
"1","11","16","207","54","11","1.2","0.13","172.633","16.008","590.616","553.834"
"1","11","17","0","0","9","1.1","0.13","0","9","0","0"
"1","11","18","0","0","9","1.1","0.13","0","9","0","0"
"1","11","19","0","0","8","1.2","0.13","0","8","0","0"
"1","11","20","0","0","7","1.3","0.13","0","7","0","0"
"1","11","21","0","0","6","1.4","0.13","0","6","0","0"
"1","11","22","0","0","6","1.5","0.13","0","6","0","0"
"1","11","23","0","0","5","1.7","0.13","0","5","0","0"
"1","12","0","0","0","5","1.8","0.13","0","5","0","0"
"1","12","1","0","0","4","1.7","0.13","0","4","0","0"
"1","12","2","0","0","3","1.7","0.13","0","3","0","0"
"1","12","3","0","0","3","1.7","0.13","0","3","0","0"
"1","12","4","0","0","2","1.6","0.13","0","2","0","0"
"1","12","5","0","0","2","1.6","0.13","0","2","0","0"
"1","12","6","0","0","2","1.7","0.13","0","2","0","0"
"1","12","7","0","0","3","2.5","0.13","0","0","0","0"
"1","12","8","0","54","5","3.1","0.13","46.851","5.931","158.347","136.882"
"1","12","9","544","86","7","3.3","0.13","492.706","16.565","1780.533","1701.588"
"1","12","10","204","190","9","3.1","0.13","307.006","15.135","1090.745","1036.241"
"1","12","11","885","82","10","2.7","0.13","588.81","22.613","2062.53","1973.592"
"1","12","12","897","84","11","2.4","0.13","564.243","23.758","1962.888","1877.481"
"1","12","13","572","153","12","2.2","0.13","484.467","23.375","1682.495","1607.024"
"1","12","14","335","170","11","2.1","0.13","385.769","20.247","1356.082","1292.177"
"1","12","15","742","64","10","1.6","0.13","604.142","26.129","2114.629","2023.845"
"1","12","16","523","42","7","1.1","0.13","283.457","15.444","993.338","942.286"
"1","12","17","0","0","5","1.2","0.13","0","5","0","0"
"1","12","18","0","0","5","1.3","0.13","0","5","0","0"
"1","12","19","0","0","4","1.4","0.13","0","4","0","0"
"1","12","20","0","0","4","1.5","0.13","0","4","0","0"
"1","12","21","0","0","4","1.8","0.13","0","4","0","0"
"1","12","22","0","0","4","2","0.13","0","4","0","0"
"1","12","23","0","0","3","1.9","0.13","0","3","0","0"
"1","13","0","0","0","2","1.6","0.13","0","2","0","0"
"1","13","1","0","0","1","1.7","0.13","0","1","0","0"
"1","13","2","0","0","1","2","0.13","0","1","0","0"
"1","13","3","0","0","1","2.2","0.13","0","1","0","0"
"1","13","4","0","0","1","2.3","0.13","0","1","0","0"
"1","13","5","0","0","1","2.5","0.13","0","1","0","0"
"1","13","6","0","0","1","2.6","0.13","0","1","0","0"
"1","13","7","0","0","2","2.9","0.13","0","0","0","0"
"1","13","8","0","35","3","3.2","0.13","26.234","3.513","87.489","68.535"
"1","13","9","0","33","4","3.3","0.13","24.697","4.477","83.309","64.503"
"1","13","10","172","193","5","3.1","0.13","290.128","10.796","1044.955","992.074"
"1","13","11","0","150","6","2.5","0.13","137.182","9.029","478.51","445.7"
"1","13","12","0","157","6","2","0.13","156.803","9.8","541.228","506.196"
"1","13","13","0","109","6","1.6","0.13","97.806","8.588","337.969","310.139"
"1","13","14","0","39","6","1.2","0.13","29.239","6.85","97.765","78.447"
"1","13","15","0","92","5","0.9","0.13","73.958","7.322","257.682","232.697"
"1","13","16","275","65","4","0.6","0.13","215.801","11.329","759.823","717.045"
"1","13","17","0","0","3","0.5","0.13","0","3","0","0"
"1","13","18","0","0","2","0.5","0.13","0","2","0","0"
"1","13","19","0","0","2","0.5","0.13","0","2","0","0"
"1","13","20","0","0","1","0.7","0.13","0","1","0","0"
"1","13","21","0","0","0","1","0.13","0","0","0","0"
"1","13","22","0","0","0","1.1","0.13","0","0","0","0"
"1","13","23","0","0","0","1.1","0.13","0","0","0","0"
"1","14","0","0","0","0","1.1","0.13","0","0","0","0"
"1","14","1","0","0","0","1.2","0.13","0","0","0","0"
"1","14","2","0","0","0","1.3","0.13","0","0","0","0"
"1","14","3","0","0","0","1.4","0.13","0","0","0","0"
"1","14","4","0","0","0","1.5","0.13","0","0","0","0"
"1","14","5","0","0","0","1.4","0.13","0","0","0","0"
"1","14","6","0","0","0","1.4","0.13","0","0","0","0"
"1","14","7","0","0","0","1.9","0.13","0","0","0","0"
"1","14","8","0","50","2","2.8","0.13","41.65","2.871","141.979","121.094"
"1","14","9","764","69","4","3.2","0.13","625.379","16.345","2269.404","2173.135"
"1","14","10","878","76","5","3.1","0.13","655.774","18.138","2349.826","2250.708"
"1","14","11","927","78","6","3","0.13","611.617","18.44","2176.204","2083.238"
"1","14","12","940","79","7","3.3","0.13","586.761","18.354","2083.329","1993.654"
"1","14","13","920","78","8","3.7","0.13","611.536","19.128","2170.959","2078.179"
"1","14","14","397","162","7","4","0.13","430.601","14.497","1549.931","1479.156"
"1","14","15","29","121","6","3.9","0.13","133.725","8.36","475.787","443.074"
"1","14","16","29","58","4","3.2","0.13","73.279","5.432","252.741","227.931"
"1","14","17","0","0","2","2.6","0.13","0","2","0","0"
"1","14","18","0","0","0","2.2","0.13","0","0","0","0"
"1","14","19","0","0","0","1.7","0.13","0","0","0","0"
"1","14","20","0","0","0","1.4","0.13","0","0","0","0"
"1","14","21","0","0","-1","1.4","0.13","0","-1","0","0"
"1","14","22","0","0","-2","1.3","0.13","0","-2","0","0"
"1","14","23","0","0","-3","1.2","0.13","0","-3","0","0"
"1","15","0","0","0","-3","1","0.13","0","-3","0","0"
"1","15","1","0","0","-4","1","0.13","0","-4","0","0"
"1","15","2","0","0","-4","1","0.13","0","-4","0","0"
"1","15","3","0","0","-4","1","0.13","0","-4","0","0"
"1","15","4","0","0","-4","1","0.13","0","-4","0","0"
"1","15","5","0","0","-4","1.1","0.13","0","-4","0","0"
"1","15","6","0","0","-4","1.2","0.13","0","-4","0","0"
"1","15","7","0","0","-2","1.9","0.13","0","0","0","0"
"1","15","8","501","54","0","2.9","0.13","308.362","6.366","1126.887","1071.103"
"1","15","9","716","81","1","3.6","0.13","611.237","12.326","2248.542","2153.013"
"1","15","10","845","88","2","4.2","0.13","648.944","12.997","2367.434","2267.692"
"1","15","11","371","209","3","4.6","0.13","420.319","9.719","1524.124","1454.264"
"1","15","12","933","88","3","4.6","0.13","594.397","12.517","2154.095","2061.912"
"1","15","13","947","78","3","4.1","0.13","628.964","13.795","2276.27","2179.759"
"1","15","14","907","71","3","3.5","0.13","671.647","15.622","2430.093","2328.13"
"1","15","15","811","61","2","2.3","0.13","653.544","17.119","2366.248","2266.548"
"1","15","16","606","42","0","1.3","0.13","321.867","9.148","1164.022","1106.922"
"1","15","17","0","0","-2","1.1","0.13","0","-2","0","0"
"1","15","18","0","0","-3","1.2","0.13","0","-3","0","0"
"1","15","19","0","0","-3","1.2","0.13","0","-3","0","0"
"1","15","20","0","0","-3","1.2","0.13","0","-3","0","0"
"1","15","21","0","0","-4","1.2","0.13","0","-4","0","0"
"1","15","22","0","0","-4","1.1","0.13","0","-4","0","0"
"1","15","23","0","0","-4","1","0.13","0","-4","0","0"
"1","16","0","0","0","-4","0.9","0.13","0","-4","0","0"
"1","16","1","0","0","-4","0.9","0.13","0","-4","0","0"
"1","16","2","0","0","-4","0.8","0.13","0","-4","0","0"
"1","16","3","0","0","-4","0.8","0.13","0","-4","0","0"
"1","16","4","0","0","-4","0.8","0.13","0","-4","0","0"
"1","16","5","0","0","-4","0.8","0.13","0","-4","0","0"
"1","16","6","0","0","-3","0.7","0.13","0","-3","0","0"
"1","16","7","0","0","-2","0.9","0.13","0","0","0","0"
"1","16","8","325","54","0","1.5","0.13","231.928","6.295","840.709","795.065"
"1","16","9","536","89","0","1.7","0.13","495.775","12.942","1815.025","1734.857"
"1","16","10","592","123","2","1.4","0.13","524.385","16.607","1881.707","1799.176"
"1","16","11","438","195","3","1","0.13","451.89","16.826","1600.288","1527.729"
"1","16","12","499","193","3","0.7","0.13","465.253","18.388","1630.798","1557.158"
"1","16","13","368","210","3","0.7","0.13","421.455","16.953","1488.601","1419.999"
"1","16","14","284","183","3","0.7","0.13","367.188","15.179","1311.397","1249.074"
"1","16","15","151","132","2","0.6","0.13","243.436","10.313","881.305","834.223"
"1","16","16","79","63","0","0.8","0.13","112.194","3.606","398.021","368.063"
"1","16","17","0","0","0","0.9","0.13","0","0","0","0"
"1","16","18","0","0","0","0.9","0.13","0","0","0","0"
"1","16","19","0","0","0","0.9","0.13","0","0","0","0"
"1","16","20","0","0","0","0.9","0.13","0","0","0","0"
"1","16","21","0","0","0","0.9","0.13","0","0","0","0"
"1","16","22","0","0","0","0.9","0.13","0","0","0","0"
"1","16","23","0","0","0","1","0.13","0","0","0","0"
"1","17","0","0","0","0","0.9","0.13","0","0","0","0"
"1","17","1","0","0","-1","0.7","0.13","0","-1","0","0"
"1","17","2","0","0","-1","0.9","0.13","0","-1","0","0"
"1","17","3","0","0","-1","1.4","0.13","0","-1","0","0"
"1","17","4","0","0","-1","2.3","0.13","0","-1","0","0"
"1","17","5","0","0","-1","3","0.13","0","-1","0","0"
"1","17","6","0","0","-1","3.3","0.13","0","-1","0","0"
"1","17","7","0","0","0","3.4","0.13","0","0","0","0"
"1","17","8","0","39","0","3.7","0.13","29.257","0.529","99.413","80.036"
"1","17","9","0","4","0","3.6","0.13","2.982","0.055","9.355","0"
"1","17","10","0","83","0","3","0.13","62.619","1.269","220.55","196.881"
"1","17","11","0","72","0","2.7","0.13","64.998","1.384","227.324","203.415"
"1","17","12","0","78","0","2.9","0.13","77.961","1.598","270.808","245.358"
"1","17","13","0","32","0","3.2","0.13","28.698","0.561","97.608","78.295"
"1","17","14","742","100","0","3.3","0.13","603.982","11.708","2211.265","2117.057"
